Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),News Sentiment Score,Social Sentiment Score
25/5/2022,16.95,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,0.2513766066360618,0.6596358795064146
26/5/2022,17.82,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2603816540491088,0.3613228076678606
27/5/2022,18.78,Hold,Hold,Hold,Hold,Buy,Buy,Buy,Hold,Hold,Hold,0.3807484888880378,0.4535938935611882
31/5/2022,18.64,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Buy,Hold,Hold,-0.0625423175,0.662441586008125
1/6/2022,18.29,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3847107208330853,0.5090722
2/6/2022,19.56,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.456871364445,0.5594094419773785
3/6/2022,18.69,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.499978259068265,0.9262761457142856
6/6/2022,18.75,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.87708366,0.9966804533333334
7/6/2022,18.89,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.468570795,0.5544382586198767
8/6/2022,18.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.990999195,0.7992278250273881
9/6/2022,18.02,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.99982,0.6441815341326667
10/6/2022,16.95,Sell,Sell,Hold,Sell,Sell,Sell,Sell,Sell,Hold,Hold,0.0004309152489541,0.64277395
13/6/2022,15.62,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6413822,0.8141534185714285
14/6/2022,15.81,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-2.6976983e-07,0.8570795945085715
15/6/2022,16.5,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,3.8622053e-05,0.99900133
16/6/2022,15.58,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.467304095052365,0.67312505722
17/6/2022,15.86,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0574619707952999,0.56677391
21/6/2022,16.54,Hold,Hold,Hold,Sell,Hold,Hold,Sell,Hold,Hold,Hold,-1.99549695e-05,0.74598454592
22/6/2022,16.34,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.8956084,0.9933791775
23/6/2022,16.2,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.0003495,0.41769885
24/6/2022,17.1,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2549254404765,0.1661884198044422
27/6/2022,16.84,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Hold,Hold,0.93296366,0.896230895
28/6/2022,15.96,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,-0.19286666172,0.6126676
29/6/2022,15.52,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.1493780432857143,0.4917299968333333
30/6/2022,15.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4712407133333333,0.639481514889375
1/7/2022,14.5,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.3005497752977955,0.6882859555
5/7/2022,14.94,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,0.6469318233333333,0.996569715
6/7/2022,15.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-7.172749e-08,0.9146372416666668
7/7/2022,15.84,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.509813074909195,0.43652060284
8/7/2022,15.82,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Hold,Hold,-3.61380719997937e-07,0.88897028
11/7/2022,15.13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3629496432995157,0.90512210375
