Date,Close,"Combi1:
Crossover (Price & EMA 20) + SMA Crossover (12 & 20)","Combi2:
Crossover (Price & EMA 12) + SMA Crossover (12 & 20)","Combi3:
Crossover (Price & EMA 20) + EMA Crossover (12 &20)","Combi4:
Overbought/ Overbought + SMA Crossover (8 & 12)","Combi5:
Crossover (Price & EMA 20) + Crossover (Price & EMA 50)","Combi6: 
Crossover (Price & EMA 12) + EMA Crossover (12 &20)","Combi7:
Crossover (Price & EMA 12) + Crossover (Price & EMA 20)","Combi8:
Crossover (Price & EMA 12) + SMA Crossover (8 & 12)","Combi9:
Crossover (Price & EMA 20) + SMA Crossover (8 & 12)","Combi10:
Crossover (Price & EMA 12) +Crossover (Price & EMA 50)",News Sentiment Score,Social Sentiment Score
18/3/2022,301.7966614,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6866986033,0.7601014465330124
21/3/2022,307.0533447,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3798445198681818,0.6668410179950839
22/3/2022,331.3266602,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.566460478326655,0.7820035457438309
23/3/2022,333.0366821,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.67671876,0.8029008886773256
24/3/2022,337.9733276,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5920269881818182,0.7896293820456092
25/3/2022,336.8800049,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.777962128314,0.7597782010347431
28/3/2022,363.9466553,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5182948132636129,0.8130072394466864
29/3/2022,366.5233459,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9690044164285716,0.8248750248919541
30/3/2022,364.6633301,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0723084491945,0.8364639957847572
31/3/2022,359.2000122,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2454821079783562,0.747970251418494
1/4/2022,361.5299988,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,0.6552775717604828,0.7113915713290732
4/4/2022,381.8166809,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,0.56199351877,0.7157176629878889
5/4/2022,363.7533264,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,0.7214559083610174,0.786598177381461
6/4/2022,348.5866699,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,0.4160581691357158,0.7211731592737493
7/4/2022,352.4200134,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Hold,0.6925637334630013,0.7937617029900162
8/4/2022,341.8299866,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,0.7087191092060334,0.7445865644923589
11/4/2022,325.3099976,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Hold,0.7554692333333333,0.7506960149281403
12/4/2022,328.9833374,Sell,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Hold,0.4729950419051467,0.7812821621607593
13/4/2022,340.7900085,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4853040761907592,0.7530538005398205
14/4/2022,328.3333435,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,0.8244368821875,0.7549243975494916
18/4/2022,334.7633362,Sell,Hold,Sell,Hold,Sell,Hold,Sell,Hold,Hold,Hold,0.5711788431144555,0.7155176077295705
19/4/2022,342.7166748,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5063062127692186,0.6732033712176821
20/4/2022,325.7333374,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,0.3046288275683025,0.6363049773808641
21/4/2022,336.2600098,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Sell,0.2718674986308768,0.6556027429979134
22/4/2022,335.0166626,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5201684783180137,0.7344345005556792
25/4/2022,332.6733398,Hold,Hold,Sell,Hold,Sell,Hold,Hold,Hold,Hold,Hold,0.4198652025532269,0.749574657284159
26/4/2022,292.1400146,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4763970373579487,0.6781660849875852
27/4/2022,293.8366699,Hold,Hold,Sell,Hold,Sell,Sell,Hold,Hold,Hold,Sell,0.2504747824233461,0.6689068910124276
28/4/2022,292.5033264,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5591938971406087,0.7685649599115296
29/4/2022,290.2533264,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7124295044980768,0.7520937474966767
2/5/2022,300.980011,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.529225305593879,0.7688676347844114
3/5/2022,303.0833435,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5361792706428571,0.8053861326390584
4/5/2022,317.5400085,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6354130767142857,0.667658458542843
5/5/2022,291.0933228,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,0.3221827066666667,0.7559184335103271
6/5/2022,288.5499878,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,0.597611094749851,0.7709299301887707
9/5/2022,262.3699951,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6330525108761819,0.711322122159047
10/5/2022,266.6799927,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.39351366444,0.5960302004845544
11/5/2022,244.6666718,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3561729241662882,0.6694468481223355
12/5/2022,242.6666718,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3092196838461538,0.6622503459567457
13/5/2022,256.5299988,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2914790467942857,0.7291956703654883
16/5/2022,241.456665,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.262438594645,0.5708285759398032
17/5/2022,253.8699951,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6485749424705882,0.6719019112730832
18/5/2022,236.6033325,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5462054068157896,0.705263769517313
19/5/2022,236.4733276,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2319498352019047,0.6923500081219534
20/5/2022,221.3000031,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2789084853333333,0.6785916561288997
23/5/2022,224.9666595,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.205352152736674,0.641188454832883
24/5/2022,209.386673,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,0.5177469467,0.70196822503909
25/5/2022,219.6000061,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,0.3175333215294117,0.6922535560420228
26/5/2022,235.9100037,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4630816571428571,0.726624478148992
27/5/2022,253.2100067,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5934673766700694,0.696736517345316
31/5/2022,252.7533264,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,0.3955009766666666,0.7510178531416077
1/6/2022,246.7899933,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9244796908333334,0.7784777213937
2/6/2022,258.3333435,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9972202554545456,0.691845112569023
3/6/2022,234.5166626,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.0339250522105263,0.5791930665997506
6/6/2022,238.2799988,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Hold,0.49990109143092,0.6625905973933428
7/6/2022,238.886673,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9590331127272728,0.7336333925426299
8/6/2022,241.8666687,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.614388241599378,0.6689760332064693
9/6/2022,239.706665,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.78735046152478,0.5546447994194655
10/6/2022,232.2299957,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2007001743910458,0.6385465488586661
13/6/2022,215.7366638,Buy,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7589531037589999,0.5826426140457013
14/6/2022,220.8899994,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.1298243401464094,0.708746097372836
15/6/2022,233.0,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5443676624538462,0.72203280069734
16/6/2022,213.1000061,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5610271433455,0.6002194147120444
17/6/2022,216.7599945,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1275894228452857,0.7529784979805197
