Stock,Ablation,Model,Horizon,Threshold,Seed,HParams,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,social_only,lstm,5,0.005,31415,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5162790697674419,0.466,42,0.5,-0.03654692187558069,-0.1296228092120416,-0.28768214032619194,-0.0551601597688686,0.6018518518518519,0.5684051724137931,43,0.6046511627906976,0.6955251426203318,1.2241241101427538,-0.22710507947388217,0.7404658863904899,5.3901221098999335
AAPL,social_only,lstm,10,0.01,42,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.6285714285714286,0.3812160062160062,20,0.8,1.2806301060325678,10.267106748764846,-0.10822989702745,1.6857949826040601,0.5601851851851852,0.4710351377018044,21,0.6666666666666666,1.521861061222463,30.09656256558586,-0.040088344268017606,2.626269030669432,750.7559395411806
AAPL,social_only,lstm,10,0.01,7,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.6619047619047619,0.576146076146076,20,0.8,1.4255890379809615,13.707909861769506,-0.08485592469409119,1.6861146457570704,0.5185185185185185,0.49805749805749805,21,0.5238095238095238,0.8479500536192814,5.545319430395096,-0.15265898683969176,2.145885619132317,36.324880344045994
AAPL,social_only,lstm,10,0.01,1337,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.6190476190476191,0.5935314685314684,20,0.7,2.541533157225692,86.30309127610121,-0.047717845528910244,15.51738509284623,0.5972222222222222,0.6109816109816109,21,0.42857142857142855,0.6948728128694248,3.492144850857107,-0.1684281952030007,1.78504056636111,20.733730754807087
AAPL,social_only,lstm,10,0.01,2024,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.6,0.48096348096348096,20,0.7,0.9951169532718583,5.527209860644938,-0.12127277456232088,1.2919137785974395,0.5694444444444444,0.6228956228956228,21,0.5714285714285714,1.1601284449767286,12.779676915117788,-0.12004199328786805,2.6593261070808194,106.46005256236741
AAPL,social_only,lstm,10,0.01,31415,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.6095238095238096,0.598970473970474,20,0.7,0.8374053606414783,3.7762034809059024,-0.14011608840085588,1.1611959773365337,0.5324074074074074,0.5538288871622205,21,0.5238095238095238,0.20571291072086417,0.296072951008014,-0.13826850734862192,0.39110030065720586,2.141289847452489
AAPL,sentiment_only,lstm,2,0.0025,42,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5045871559633027,0.46144781144781144,108,0.5185185185185185,0.6826005680847851,0.3034996452797305,-0.1670658410810842,0.9711516903459612,0.5092592592592593,0.5114065180102917,107,0.5607476635514018,1.147333344274179,0.6927642102135321,-0.12307178976476499,1.7229241065060938,5.628943980888364
AAPL,sentiment_only,lstm,2,0.0025,7,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5045871559633027,0.5192760942760943,108,0.5185185185185185,0.6826005680847851,0.3034996452797305,-0.1670658410810842,0.9711516903459612,0.5092592592592593,0.5295883361921098,107,0.5607476635514018,1.147333344274179,0.6927642102135321,-0.12307178976476499,1.7229241065060938,5.628943980888364
AAPL,sentiment_only,lstm,2,0.0025,1337,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.4908256880733945,0.508543771043771,108,0.4444444444444444,-1.785602777918173,-0.5747169971637284,-0.35621548809666376,-2.8747176754184434,0.49074074074074076,0.4762435677530017,107,0.35514018691588783,-2.142130161947218,-0.6810424102531855,-0.4386939519673855,-3.244257731635229,-1.5524317287688918
AAPL,sentiment_only,lstm,2,0.0025,2024,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5045871559633027,0.4887205387205388,108,0.5185185185185185,0.6826005680847851,0.3034996452797305,-0.1670658410810842,0.9711516903459612,0.5092592592592593,0.5449399656946827,107,0.5607476635514018,1.147333344274179,0.6927642102135321,-0.12307178976476499,1.7229241065060938,5.628943980888364
AAPL,sentiment_only,lstm,2,0.0025,31415,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5045871559633027,0.5686026936026936,108,0.46296296296296297,-1.9067742675635841,-0.5970559765889953,-0.39999120904336466,-2.8741537328195914,0.46296296296296297,0.4722984562607205,107,0.3925233644859813,-1.5608985946954974,-0.5741319008898812,-0.3861488140207343,-2.301754760927944,-1.4868151345896743
AAPL,sentiment_only,lstm,5,0.005,42,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5441860465116279,0.62,42,0.6428571428571429,1.2403476364839245,2.3762944266887027,-0.15548971187711577,1.5939533869038567,0.5092592592592593,0.49525862068965515,43,0.5348837209302325,1.0305242291013883,2.5420048858140225,-0.10310124679588956,1.7427615786263055,24.655423332042258
AAPL,sentiment_only,lstm,5,0.005,7,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5441860465116279,0.5228695652173914,42,0.42857142857142855,-1.0260074408043318,-0.7012884043311196,-0.2994772022014546,-1.4170334315249986,0.5601851851851852,0.524396551724138,43,0.5348837209302325,0.2669288213823047,0.2248729593397858,-0.21505345924493324,0.3190819598837741,1.0456607400286861
AAPL,sentiment_only,lstm,5,0.005,1337,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.46511627906976744,0.5808695652173913,42,0.40476190476190477,-1.2367158970563235,-0.7602109321492072,-0.25667025614999944,-2.46020307808939,0.49537037037037035,0.5307758620689655,43,0.5116279069767442,-0.689981404875143,-0.6822998832926662,-0.2997786085751998,-0.8047037648907351,-2.276012576532827
AAPL,sentiment_only,lstm,5,0.005,2024,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5209302325581395,0.5355652173913044,42,0.47619047619047616,-0.2311355506867334,-0.2948999809576407,-0.15965681846684165,-0.4527348322502489,0.4583333333333333,0.5337068965517241,43,0.37209302325581395,-1.650574445380167,-0.9136478502021208,-0.40781787655975454,-2.1403284880447457,-2.240333008227634
AAPL,sentiment_only,lstm,5,0.005,31415,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5767441860465117,0.5637391304347825,42,0.5714285714285714,0.7582209109174035,1.0480361916881815,-0.1892757392207459,1.165630904911895,0.49537037037037035,0.48043103448275853,43,0.5581395348837209,0.2880907316842056,0.2620464932047284,-0.22298045776379027,0.34515588243250767,1.175199368737156
AAPL,sentiment_only,lstm,10,0.01,42,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.6047619047619047,0.5474941724941724,20,0.8,2.1569080411451003,49.063760257601665,-0.04165632713893005,4.265088167200293,0.5555555555555556,0.4932228265561599,21,0.6190476190476191,1.5517103463062454,32.18762259587956,-0.039132418752789104,2.8045096559900387,822.5308739339154
AAPL,sentiment_only,lstm,10,0.01,7,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.6285714285714286,0.5140831390831391,20,0.8,1.2806301060325678,10.267106748764846,-0.10822989702745,1.6857949826040601,0.5416666666666666,0.5256841923508591,21,0.6666666666666666,1.6264346964676142,37.965451549351954,-0.039132418752789104,2.831972270864319,970.1790167684441
AAPL,sentiment_only,lstm,10,0.01,1337,"{""lr"": 0.0017249321573178998, ""dropout"": 0.2529847965068651, ""u1"": 253, ""u2"": 68, ""batch_size"": 57}",0.5,0.5061188811188811,20,0.3,-0.8103757815287886,-0.8481871007204334,-0.18742391065542502,-1.5030383731166728,0.4398148148148148,0.4296814296814297,21,0.2857142857142857,-1.7794861864789124,-0.990026232887963,-0.3831134069922953,-2.2236743923122106,-2.584159715684064
